RowId,index,ra,dec,type,const,mag,name,rarad,decrad,bf,bayer,flam,spect,lum,ci,gl,comp,hyg_id,comp_primary,base,id,r1,r2,angle,dso_source,id1,cat1,id2,cat2,dupid,dupcat,display_mag
DSO-0,25.0,0.0541111,16.1453,Gxy,Peg,11.0,,0.0141663,0.281788,,,,,,,,,,,,26.0,5.5,2.3,135.0,2.0,7814,NGC,43.0,C,,,
DSO-1,32.0,0.0662222,20.7497,Gxy,Peg,12.0,,0.0173369,0.362151,,,,,,,,,,,,33.0,3.5,0.9,45.0,2.0,7817,NGC,,,,,
DSO-2,37.0,0.0793889,-62.0617,Gxy,Tuc,12.8,,0.020784,-1.08318,,,,,,,,,,,,38.0,1.2,1.0,22.0,2.0,7823,NGC,,,,,
DSO-3,58.0,0.121083,27.7089,Gxy,Peg,12.7,,0.0316995,0.483611,,,,,,,,,,,,59.0,1.6,1.2,120.0,2.0,1,NGC,,,,,
DSO-4,69.0,0.142944,-33.8556,Gxy,Scl,12.5,,0.0374228,-0.590891,,,,,,,,,,,,70.0,2.4,1.2,25.0,2.0,10,NGC,,,,,
DSO-5,74.0,0.146194,15.8156,Gxy,Peg,12.5,,0.0382736,0.276034,,,,,,,,,,,,75.0,2.8,2.1,25.0,2.0,14,NGC,,,,,
DSO-6,77.0,0.151278,27.7306,Gxy,Peg,11.8,,0.0396044,0.48399,,,,,,,,,,,,78.0,1.8,1.0,16.0,2.0,16,NGC,,,,,
DSO-7,83.0,0.164833,25.9236,Gxy,Peg,11.9,,0.0431533,0.452452,,,,,,,,,,,,84.0,2.1,1.3,8.0,2.0,23,NGC,,,,,
DSO-8,84.0,0.165639,-24.9636,Gxy,Scl,11.5,,0.0433642,-0.435697,,,,,,,,,,,,85.0,5.8,1.3,46.0,2.0,24,NGC,,,,,
DSO-9,88.0,0.173861,25.8308,Gxy,Peg,12.9,,0.0455167,0.450833,,,,,,,,,,,,89.0,1.9,1.4,100.0,2.0,26,NGC,,,,,
DSO-10,92.0,0.179694,33.3528,Gxy,And,12.9,,0.0470439,0.582116,,,,,,,,,,,,93.0,1.6,0.7,154.0,2.0,21,NGC,,,29,NGC,
DSO-11,93.0,0.179694,33.3528,Gxy,And,12.9,,0.0470439,0.582116,,,,,,,,,,,,94.0,1.7,0.8,154.0,2.0,29,NGC,,,,,
DSO-12,108.0,0.216917,72.5222,PN,Cep,12.3,,0.0567886,1.26575,,,,,,,,,,,,109.0,0.633333,0.583333,,2.0,40,NGC,2.0,C,,,
DSO-13,109.0,0.216917,30.9158,Gxy,And,12.7,,0.0567886,0.539583,,,,,,,,,,,,110.0,1.6,1.5,,2.0,43,NGC,,,,,
DSO-14,115.0,0.234417,-23.1811,Gxy,Cet,10.8,,0.0613701,-0.404587,,,,,,,,,,,,116.0,8.5,5.9,142.0,2.0,45,NGC,,,,,
DSO-15,123.0,0.245722,-7.34556,Gxy,Cet,12.3,,0.0643299,-0.128204,,,,,,,,,,,,124.0,2.3,1.7,170.0,2.0,50,NGC,,,,,
DSO-16,125.0,0.252333,-39.2206,Gxy,Scl,8.3,,0.0660607,-0.684528,,,,,,,,,,,,126.0,32.4,5.6,108.0,2.0,55,NGC,72.0,C,,,
DSO-17,128.0,0.258528,17.3272,Gxy,Psc,12.2,,0.0676824,0.302417,,,,,,,,,,,,129.0,2.2,1.9,40.0,2.0,57,NGC,,,,,
DSO-18,129.0,0.256972,-21.4439,Gxy,Cet,12.2,,0.0672752,-0.374266,,,,,,,,,,,,130.0,2.6,1.3,127.0,2.0,59,NGC,,,,,
DSO-19,136.0,0.295972,11.4494,Gxy,Psc,11.8,,0.0774853,0.199831,,,,,,,,,,,,137.0,1.7,1.1,108.0,2.0,63,NGC,,,,,
DSO-20,160.0,0.33975,59.2931,Gxy,Cas,11.78,,0.0889463,1.03486,,,,,,,,,,,,161.0,6.61,5.89,125.0,3.0,10,IC,,,,,
DSO-21,166.0,0.353028,22.3572,Gxy,And,12.5,,0.0924225,0.390207,,,,,,,,,,,,167.0,1.8,1.7,,2.0,80,NGC,,,,,
DSO-22,186.0,0.370583,10.4911,Gxy,Psc,12.6,,0.0970185,0.183104,,,,,,,,,,,,187.0,1.9,1.1,,2.0,95,NGC,,,,,
DSO-23,188.0,0.375,29.7453,Gxy,And,12.4,,0.0981748,0.519153,,,,,,,,,,,,189.0,1.5,1.3,,2.0,97,NGC,,,,,
DSO-24,192.0,0.398472,-32.5364,Gxy,Scl,12.8,,0.10432,-0.567867,,,,,,,,,,,,193.0,2.2,2.0,,2.0,101,NGC,,,,,
DSO-25,195.0,0.401417,-72.0808,GC,Tuc,4.0,47 Tuc,0.105091,-1.25805,,,,,,,,,,,,196.0,50.0,,,2.0,104,NGC,106.0,C,,,
